"IC/JC코드","IC/JC명","노선코드","노선명","X좌표값","Y좌표값",
"0010I00066","기흥동탄IC","0010","경부선","127.099472","37.216953",
"0010I00089","동김천IC","0010","경부선","128.177560","36.134976",
"0010I00092","북천안IC","0010","경부선","127.191351","36.897397",
"0010I90050","남사진위IC","0010","경부선","127.116617","37.106594",
"0010I90051","북구미IC","0010","경부선","128.302709","36.143558",
"0010I90052","구서IC","0010","경부선","129.099172","35.250426",
"0010I90055","옥산하이패스IC","0010","경부선","127.372626","36.656813",
"0010I90057","활천 나들목IC","0010","경부선","129.192602","35.712424",
"0010I90058","활천IC","0010","경부선","129.190180","35.711867",
"0010J00002","양산JCT","0010","경부선","129.043523","35.331863",
"0010J00006","언양JCT","0010","경부선","129.130010","35.566669",
"0010J00025","비룡JCT","0010","경부선","127.481770","36.346318",
"0010J00027","회덕JCT","0010","경부선","127.421007","36.405272",
"0010J00030","남이JCT","0010","경부선","127.422204","36.598011",
"0010J00033","천안JCT","0010","경부선","127.182262","36.769703",
"0010J00036","안성JCT","0010","경부선","127.140366","37.038514",
"0010J00040","신갈JCT","0010","경부선","127.104780","37.291807",
"0010J00042","판교JCT","0010","경부선","127.094529","37.405870",
"0010J90053","금토JCT","0010","경부선","127.085428","37.415470",
"0010J90054","언양 분기점JCT","0010","경부선","129.131398","35.567444",
"0010J90056","영천JCT","0010","경부선","129.006724","35.920645",
"0010J90059","동대구JCT","0010","경부선","128.694347","35.887474",
"4000J00001","동탄JCT","0010","경부선","127.095990","37.177820",
"0101I00082","서영암IC","0101","남해선(영암-순천)","126.530841","34.754310",
"0101I00083","강진무위사IC","0101","남해선(영암-순천)","126.717300","34.698139",
"0101I00084","장흥IC","0101","남해선(영암-순천)","126.906190","34.708190",
"0101I00085","보성IC","0101","남해선(영암-순천)","127.107230","34.813939",
"0101I00086","벌교IC","0101","남해선(영암-순천)","127.298440","34.834910",
"0101I00087","순천만IC","0101","남해선(영암-순천)","127.480890","34.897360",
"0101I00088","학산IC","0101","남해선(영암-순천)","126.574528","34.736691",
"0101I00090","고흥IC","0101","남해선(영암-순천)","127.342841","34.826999",
"0101I00091","도롱IC","0101","남해선(영암-순천)","127.528668","34.905184",
"0101I90010","벌교IC","0101","남해선(영암-순천)","127.298311","34.833615",
"0101I90011","장흥IC","0101","남해선(영암-순천)","126.907282","34.707695",
"0101I90012","보성IC","0101","남해선(영암-순천)","127.103739","34.813151",
"0101I90013","순천만IC","0101","남해선(영암-순천)","127.481543","34.896622",
"0120I90001","서함양하이패스IC","0120","광주대구선","127.710808","35.544174",
"0120I00020","무안공항IC","0121","무안광주선","126.390487","35.003671",
"0120I00021","북무안IC","0121","무안광주선","126.435812","35.014250",
"0120I00023","나주IC","0121","무안광주선","126.695496","35.103306",
"0120I00035","문평IC","0121","무안광주선","126.597922","35.068208",
"0120I00036","동함평IC","0121","무안광주선","126.545062","35.051868",
"0120J00022","함평JCT","0121","무안광주선","126.487202","35.031680",
"0121I00002","운수IC","0121","무안광주선","126.780425","35.159772",
"0121I00080","서광산IC","0121","무안광주선","126.734146","35.118296",
"0140I90004","배내골나들목IC","0140","고창담양선","129.006676","35.527982",
"0140J90001","밀양JCT","0140","고창담양선","128.796403","35.519366",
"0140J90002","울주JCTJCT","0140","고창담양선","129.256762","35.502711",
"0140J90003","서울주JCTJCT","0140","고창담양선","129.112288","35.513324",
"0150I00001","목포IC","0150","서해안선","126.425966","34.841913",
"0150I00002","일로IC","0150","서해안선","126.481220","34.857949",
"0150I00003","무안IC","0150","서해안선","126.492090","35.007680",
"0150I00004","함평IC","0150","서해안선","126.481619","35.099150",
"0150I00005","영광IC","0150","서해안선","126.557650","35.298940",
"0150I00006","고창IC","0150","서해안선","126.664976","35.440911",
"0150I00007","선운산IC","0150","서해안선","126.684341","35.508414",
"0150I00008","줄포IC","0150","서해안선","126.697816","35.595948",
"0150I00009","부안IC","0150","서해안선","126.775052","35.731603",
"0150I00010","서김제IC","0150","서해안선","126.840665","35.835575",
"0150I00011","동군산IC","0150","서해안선","126.835651","35.947030",
"0150I00012","군산IC","0150","서해안선","126.799440","36.009040",
"0150I00013","서천IC","0150","서해안선","126.690184","36.099759",
"0150I00014","춘장대IC","0150","서해안선","126.601782","36.169227",
"0150I00015","대천IC","0150","서해안선","126.576103","36.333293",
"0150I00016","광천IC","0150","서해안선","126.586451","36.496876",
"0150I00017","홍성IC","0150","서해안선","126.561726","36.592036",
"0150I00018","해미IC","0150","서해안선","126.564163","36.713818",
"0150I00019","서산IC","0150","서해안선","126.573123","36.808180",
"0150I00020","당진IC","0150","서해안선","126.710095","36.893758",
"0150I00021","송악IC","0150","서해안선","126.777242","36.931971",
"0150I00022","서평택IC","0150","서해안선","126.870408","37.000178",
"0150I00024","발안IC","0150","서해안선","126.883322","37.124645",
"0150I00025","비봉IC","0150","서해안선","126.883347","37.242385",
"0150I00026","매송IC","0150","서해안선","126.899805","37.279274",
"0150I00030","목감IC","0150","서해안선","126.873127","37.396386",
"0150I00032","금천IC","0150","서해안선","126.890704","37.460850",
"0150I00034","광명역IC","0150","서해안선","126.881624","37.404257",
"0150I00035","무창포IC","0150","서해안선","126.563063","36.238946",
"0150I90038","무안IC","0150","서해안선","126.492844","35.008496",
"0150I90039","불갑산하이패스IC","0150","서해안선","126.508155","35.240731",
"0150I90040","함평IC","0150","서해안선","126.482258","35.100192",
"0150I90041","일로IC","0150","서해안선","126.481798","34.857687",
"0150I90042","영광IC","0150","서해안선","126.559810","35.300633",
"0150J00023","서평택JCT","0150","서해안선","126.890732","37.054984",
"0150J00027","팔곡JCT","0150","서해안선","126.895175","37.309577",
"0150J00028","안산JCT","0150","서해안선","126.861870","37.344985",
"0150J00029","조남JCT","0150","서해안선","126.870582","37.369791",
"0150J00031","일직JCT","0150","서해안선","126.895855","37.421973",
"0150J00036","당진JCT","0150","서해안선","126.618520","36.851110",
"0150J00037","동서천JCT","0150","서해안선","126.772490","36.058319",
"0010I00007","울산IC","0160","울산선","129.260330","35.552310",
"0160I00130","장검IC","0160","울산선","129.252337","35.556461",
"0160I90005","울산IC","0160","울산선","129.261213","35.552181",
"0160J00001","언양JCT","0160","울산선","129.134100","35.564650",
"0650J00028","울산JCT","0160","울산선","129.239710","35.561900",
"0170I00014","어연IC","0171","오산화성선","126.989983","37.057822",
"0170J00015","서오산JCT","0171","오산화성선","126.999990","37.176902",
"1200I00007","정남IC","0171","오산화성선","126.972172","37.184785",
"4110I00001","향남IC","0171","오산화성선","127.002153","37.129666",
"4110I00002","봉담IC","0171","오산화성선","126.957968","37.229025",
"4110I00003","오성IC","0171","오산화성선","126.987115","37.016436",
"4110I00004","평택JCT","0171","오산화성선","126.970531","37.033277",
"0270I00016","죽림ICIC","0270","순천완주선","126.463619","34.843253",
"0270I00068","동전주IC","0270","순천완주선","127.191059","35.847334",
"0270I00069","상관IC","0270","순천완주선","127.219857","35.759052",
"0270I00071","오수IC","0270","순천완주선","127.321861","35.552347",
"0270I00072","임실IC","0270","순천완주선","127.316656","35.631977",
"0270I00074","서남원IC","0270","순천완주선","127.339514","35.361444",
"0270I00075","구례화엄사IC","0270","순천완주선","127.420695","35.250065",
"0270I00076","황전IC","0270","순천완주선","127.458033","35.146801",
"0270I00078","동순천IC","0270","순천완주선","127.554626","34.948932",
"0270I00081","북남원IC","0270","순천완주선","127.313825","35.439432",
"0270J00070","완주JCT","0270","순천완주선","127.173058","35.884309",
"0270J00073","남원분기JCT","0270","순천완주선","127.308101","35.407668",
"0270J00077","순천분기JCT","0270","순천완주선","127.539084","34.992674",
"0301I00001","동상주IC","0301","당진대전선","128.296560","36.375026",
"0301I00002","서의성IC","0301","당진대전선","128.410897","36.400110",
"0301I00003","북의성IC","0301","당진대전선","128.686711","36.417669",
"0301I00007","청송IC","0301","당진대전선","129.026638","36.456075",
"0301I00008","동청송영양IC","0301","당진대전선","129.123188","36.492909",
"0301I00009","영덕IC","0301","당진대전선","129.371255","36.386424",
"0301I90009","동안동IC","0301","당진대전선","128.889329","36.437281",
"0301J00001","상주JCT","0301","당진대전선","128.275147","36.374984",
"0301J00002","안동JCT","0301","당진대전선","128.623547","36.434393",
"0370I90003","신둔(이천) 하이패스IC","0370","제2중부선","127.380747","37.293910",
"0370J00001","마장JCT","0370","제2중부선","127.411239","37.258460",
"0370J00002","산곡JCT","0370","제2중부선","127.243140","37.480550",
"0400I00002","청북IC","0400","평택제천선","126.919096","37.047407",
"0400I00003","송탄IC","0400","평택제천선","127.109435","37.035184",
"0400I00005","서안성IC","0400","평택제천선","127.161887","37.033552",
"0400I00008","남안성IC","0400","평택제천선","127.246202","36.975677",
"0400I00018","북진천IC","0400","평택제천선","127.451719","36.946391",
"0400I00095","금왕꽃동네IC","0400","평택제천선","127.553091","36.955898",
"0400I00096","음성IC","0400","평택제천선","127.620388","36.989132",
"0400I00098","서충주IC","0400","평택제천선","127.670975","37.010970",
"0400I00102","동충주IC","0400","평택제천선","127.920945","37.063064",
"0400I90016","평택고덕IC","0400","평택제천선","127.035171","37.026835",
"0400J00001","서평택JCT","0400","평택제천선","126.888570","37.054269",
"0400J00004","안성JCT","0400","평택제천선","127.138920","37.035979",
"0400J00020","평택JCT","0400","평택제천선","126.971570","37.031500",
"0400J00097","대소JCT","0400","평택제천선","127.473780","36.943056",
"0400J00100","노은JCT","0400","평택제천선","127.804598","37.036108",
"0400J00102","제천JCT","0400","평택제천선","128.173935","37.082353",
"0100J00021","내서JCT","0450","중부내륙선","128.517887","35.258652",
"0400J00099","충주JCT","0450","중부내륙선","127.740369","37.040326",
"0450I00003","칠서IC","0450","중부내륙선","128.506037","35.329457",
"0450I00004","남지IC","0450","중부내륙선","128.483547","35.399817",
"0450I00005","영산IC","0450","중부내륙선","128.513091","35.455208",
"0450I00006","창녕IC","0450","중부내륙선","128.477572","35.544467",
"0450I00008","선산IC","0450","중부내륙선","128.262930","36.240311",
"0450I00009","상주IC","0450","중부내륙선","128.215714","36.422457",
"0450I00010","충주IC","0450","중부내륙선","127.848511","36.980086",
"0450I00011","북충주IC","0450","중부내륙선","127.796956","37.038751",
"0450I00012","감곡IC","0450","중부내륙선","127.670597","37.125898",
"0450I00014","북상주IC","0450","중부내륙선","128.171950","36.530992",
"0450I00015","점촌함창IC","0450","중부내륙선","128.154422","36.584599",
"0450I00016","문경새재IC","0450","중부내륙선","128.112659","36.699033",
"0450I00017","연풍IC","0450","중부내륙선","127.993276","36.760442",
"0450I00018","괴산IC","0450","중부내륙선","127.922955","36.868984",
"0450I00024","남성주IC","0450","중부내륙선","128.325667","35.843467",
"0450I00026","성주IC","0450","중부내륙선","128.250299","35.920815",
"0450I00032","남김천IC","0450","중부내륙선","128.269594","36.058553",
"0450I00033","서여주IC","0450","중부내륙선","127.584096","37.305462",
"0450I00034","북여주IC","0450","중부내륙선","127.528452","37.372785",
"0450I00093","남여주IC","0450","중부내륙선","127.589034","37.253639",
"0450I00094","양평IC","0450","중부내륙선","127.449776","37.521443",
"0450I00108","칠원IC","0450","중부내륙선","128.514320","35.280663",
"0450I90031","남양평IC","0450","중부내륙선","127.468327","37.483334",
"0450I90032","충주하이패스IC","0450","중부내륙선","127.839742","37.019155",
"0450J00001","내서JCT","0450","중부내륙선","128.515350","35.258870",
"0450J00002","칠원JCT","0450","중부내륙선","128.510490","35.283429",
"0450J00013","여주JCT","0450","중부내륙선","127.591773","37.233362",
"0450J00022","고령JCT","0450","중부내륙선","128.373011","35.759619",
"0450J00023","김천JCT","0450","중부내륙선","128.268615","36.160620",
"0450J00025","현풍JCT","0450","중부내륙선","128.436084","35.677202",
"0500I00002","월곶JCT","0500","영동선","126.752910","37.389325",
"0500I00003","서안산IC","0500","영동선","126.801490","37.351479",
"0500I00004","안산IC","0500","영동선","126.838160","37.348000",
"0500I00007","군포IC","0500","영동선","126.922570","37.326010",
"0500I00008","동군포IC","0500","영동선","126.937490","37.328800",
"0500I00009","부곡IC","0500","영동선","126.960760","37.323769",
"0500I00010","북수원IC","0500","영동선","126.990940","37.318590",
"0500I00011","동수원IC","0500","영동선","127.050240","37.299670",
"0500I00013","마성IC","0500","영동선","127.175468","37.283572",
"0500I00014","용인IC","0500","영동선","127.210854","37.257273",
"0500I00015","양지IC","0500","영동선","127.295604","37.238671",
"0500I00016","덕평IC","0500","영동선","127.365249","37.242153",
"0500I00018","이천IC","0500","영동선","127.497147","37.246055",
"0500I00020","여주IC","0500","영동선","127.654250","37.252144",
"0500I00021","문막IC","0500","영동선","127.827320","37.311143",
"0500I00023","원주IC","0500","영동선","127.950340","37.401755",
"0500I00024","새말IC","0500","영동선","128.068948","37.447493",
"0500I00025","둔내IC","0500","영동선","128.205279","37.492560",
"0500I00026","면온IC","0500","영동선","128.366235","37.562110",
"0500I00027","평창IC","0500","영동선","128.413840","37.590530",
"0500I00028","속사IC","0500","영동선","128.489659","37.630640",
"0500I00029","진부IC","0500","영동선","128.562480","37.652240",
"0500I00030","대관령IC","0500","영동선","128.695426","37.677862",
"0500I90030","평창IC","0500","영동선","128.414764","37.590173",
"0500I90031","진부IC","0500","영동선","128.563189","37.651623",
"0500I90032","안산IC","0500","영동선","126.840872","37.347386",
"0500I90033","동둔내(삽교)하이패스IC","0500","영동선","128.275050","37.523340",
"0500I90034","속사IC","0500","영동선","128.490321","37.629962",
"0500I90036","서안산IC","0500","영동선","126.805106","37.351873",
"0500I90037","북수원IC","0500","영동선","126.992091","37.318779",
"0500I90038","부곡IC","0500","영동선","126.961911","37.323856",
"0500I90039","마성IC","0500","영동선","127.177364","37.284006",
"0500I90040","둔내IC","0500","영동선","128.207676","37.492672",
"0500I90041","동수원IC","0500","영동선","127.050798","37.300643",
"0500I90042","동군포IC","0500","영동선","126.937307","37.329713",
"0500I90043","군포IC","0500","영동선","126.921429","37.327200",
"0500J00001","서창JCT","0500","영동선","126.738400","37.432539",
"0500J00005","안산JCT","0500","영동선","126.860460","37.344040",
"0500J00012","신갈JCT","0500","영동선","127.103680","37.290000",
"0500J00017","호법JCT","0500","영동선","127.426720","37.235810",
"0500J00019","여주JCT","0500","영동선","127.590210","37.232060",
"0500J00031","둔대JCT","0500","영동선","126.905570","37.323130",
"0500J90035","서창JCT","0500","영동선","126.740909","37.434495",
"0500J90044","군자JCT","0500","영동선","126.769679","37.363517",
"0100J00030","대저JCT","0550","중앙선","128.974280","35.219217",
"0550I00002","칠곡IC","0550","중앙선","128.537107","35.936316",
"0550I00003","다부IC","0550","중앙선","128.518303","36.047081",
"0550I00004","가산IC","0550","중앙선","128.535221","36.097527",
"0550I00005","군위IC","0550","중앙선","128.560251","36.198102",
"0550I00006","의성IC","0550","중앙선","128.582776","36.291267",
"0550I00007","남안동IC","0550","중앙선","128.622803","36.473787",
"0550I00008","서안동IC","0550","중앙선","128.629156","36.589568",
"0550I00009","예천IC","0550","중앙선","128.543859","36.668000",
"0550I00010","영주IC","0550","중앙선","128.572839","36.768053",
"0550I00011","풍기IC","0550","중앙선","128.532490","36.853230",
"0550I00012","단양IC","0550","중앙선","128.363919","36.916700",
"0550I00013","북단양IC","0550","중앙선","128.290003","37.014683",
"0550I00014","남제천IC","0550","중앙선","128.184992","37.076022",
"0550I00015","제천IC","0550","중앙선","128.142716","37.134873",
"0550I00016","신림IC","0550","중앙선","128.089289","37.224818",
"0550I00017","남원주IC","0550","중앙선","127.931398","37.325278",
"0550I00019","북원주IC","0550","중앙선","127.923124","37.420587",
"0550I00020","횡성IC","0550","중앙선","127.969949","37.504963",
"0550I00021","홍천IC","0550","중앙선","127.855957","37.677906",
"0550I00022","춘천IC","0550","중앙선","127.766620","37.842300",
"0550I90025","춘천IC","0550","중앙선","127.768387","37.842355",
"0550I90026","홍천IC","0550","중앙선","127.857815","37.678554",
"0550I90027","횡성IC","0550","중앙선","127.971366","37.504272",
"0550I90028","북원주IC","0550","중앙선","127.923377","37.419109",
"0550J00018","만종JCT","0550","중앙선","127.905466","37.364098",
"0550J00023","대동JCT","0550","중앙선","128.986032","35.284268",
"4510J00008","금호JCT","0550","중앙선","128.526603","35.894279",
"0010J00064","춘천JCT","0600","서울양양선","127.790557","37.751733",
"0600I00002","동홍천IC","0600","서울양양선","127.964457","37.758545",
"0600I00003","덕소삼패IC","0600","서울양양선","127.214237","37.594811",
"0600I00004","화도IC","0600","서울양양선","127.312813","37.632498",
"0600I00005","서종IC","0600","서울양양선","127.370279","37.635152",
"0600I00006","설악IC","0600","서울양양선","127.496499","37.669807",
"0600I00008","강촌IC","0600","서울양양선","127.624887","37.733733",
"0600I00009","남춘천IC","0600","서울양양선","127.727131","37.752069",
"0600I00010","조양IC","0600","서울양양선","127.780939","37.758587",
"0600I00011","동홍천IC","0600","서울양양선","127.966788","37.759504",
"0600I00012","미사IC","0600","서울양양선","127.192074","37.581497",
"0600I00013","선동IC","0600","서울양양선","127.177507","37.577939",
"0600I00014","강일IC","0600","서울양양선","127.168218","37.573519",
"0600I00015","내촌IC","0600","서울양양선","128.141620","37.790065",
"0600I00016","내촌ICIC","0600","서울양양선","128.140784","37.789438",
"0600I00017","인제IC","0600","서울양양선","128.287040","37.912710",
"0600I00018","서양양IC","0600","서울양양선","128.534313","37.995704",
"0650I00012","강릉IC","0650","동해선(삼척-속초)","128.840468","37.750786",
"0650I00015","남양양IC","0650","동해선(삼척-속초)","128.791440","37.914604",
"0650I00016","망상IC","0650","동해선(삼척-속초)","129.093628","37.585212",
"0650I00017","옥계IC","0650","동해선(삼척-속초)","129.038909","37.620422",
"0650I00018","북강릉IC","0650","동해선(삼척-속초)","128.815614","37.834382",
"0650I00019","동해IC","0650","동해선(삼척-속초)","129.096938","37.514019",
"0650I00020","남강릉IC","0650","동해선(삼척-속초)","128.893478","37.694050",
"0650I00032","하조대IC","0650","동해선(삼척-속초)","128.695966","38.025451",
"0650I00033","양양IC","0650","동해선(삼척-속초)","128.591905","38.075610",
"0650I00125","북양양IC","0650","동해선(삼척-속초)","128.587104","38.154438",
"0650I00126","속초IC","0650","동해선(삼척-속초)","128.524298","38.200602",
"0650I00127","북양양IC","0650","동해선(삼척-속초)","128.585739","38.154576",
"0650I00128","속초ICIC","0650","동해선(삼척-속초)","128.524995","38.201906",
"0650I00133","근덕IC","0650","동해선(삼척-속초)","129.206652","37.391937",
"0650I00134","삼척IC","0650","동해선(삼척-속초)","129.130316","37.451892",
"0650J00014","강릉JCT","0650","동해선(삼척-속초)","128.835659","37.773081",
"0650J00127","양양JCT","0650","동해선(삼척-속초)","128.602558","38.067097",
"1000I00001","별내IC","1000","수도권제1순환선","127.117970","37.659375",
"1000I90030","상일IC","1000","수도권제1순환선","127.180297","37.550273",
"1000I90031","서하남IC","1000","수도권제1순환선","127.153415","37.511827",
"1000I90032","송파IC","1000","수도권제1순환선","127.129877","37.474394",
"1000I90033","토평IC","1000","수도권제1순환선","127.158009","37.583731",
"1000I90034","구리IC","1000","수도권제1순환선","127.143447","37.614695",
"1000I90035","남양주IC","1000","수도권제1순환선","127.154776","37.601340",
"1000J90029","도리분기점JCT","1000","수도권제1순환선","126.849803","37.395742",
"1001I00002","성남IC","1000","수도권제1순환선","127.124254","37.428126",
"1001I00003","송파IC","1000","수도권제1순환선","127.128098","37.475024",
"1001I00004","서하남IC","1000","수도권제1순환선","127.151569","37.512340",
"1001I00006","상일IC","1000","수도권제1순환선","127.179490","37.548870",
"1001I00007","강일IC","1000","수도권제1순환선","127.165140","37.573340",
"1001I00008","토평IC","1000","수도권제1순환선","127.156960","37.583830",
"1001I00009","남양주IC","1000","수도권제1순환선","127.153860","37.601079",
"1001I00010","구리IC","1000","수도권제1순환선","127.141670","37.615390",
"1001I00011","퇴계원IC","1000","수도권제1순환선","127.134744","37.640141",
"1001J00001","판교JCT","1000","수도권제1순환선","127.097409","37.405130",
"1001J00005","하남JCT","1000","수도권제1순환선","127.195770","37.532000",
"1003I00013","평촌IC","1000","수도권제1순환선","126.965242","37.382313",
"1003I00014","산본IC","1000","수도권제1순환선","126.930865","37.377091",
"1003I00017","시흥IC","1000","수도권제1순환선","126.799490","37.455728",
"1003I00018","장수IC","1000","수도권제1순환선","126.755651","37.465497",
"1003I00019","송내IC","1000","수도권제1순환선","126.747678","37.488217",
"1003I00020","중동IC","1000","수도권제1순환선","126.748989","37.507369",
"1003I00022","계양IC","1000","수도권제1순환선","126.750500","37.545429",
"1003I00024","김포IC","1000","수도권제1순환선","126.778369","37.597069",
"1003I00025","자유로IC","1000","수도권제1순환선","126.801858","37.618172",
"1003I00026","일산IC","1000","수도권제1순환선","126.805909","37.636223",
"1003J00012","학의JCT","1000","수도권제1순환선","127.002246","37.386199",
"1003J00015","조남JCT","1000","수도권제1순환선","126.868980","37.368790",
"1003J00016","안현JCT","1000","수도권제1순환선","126.819273","37.436724",
"1003J00021","서운JCT","1000","수도권제1순환선","126.756453","37.527571",
"1003J00023","노오지JCT","1000","수도권제1순환선","126.754246","37.571252",
"0100I00022","서마산IC","1020","남해1지선","128.562070","35.235080",
"0100I00023","동마산IC","1020","남해1지선","128.596884","35.251132",
"1020I90005","서마산IC","1020","남해1지선","128.563640","35.234966",
"1020J00001","산인JCT","1020","남해1지선","128.477507","35.272769",
"1020J00004","창원JCT","1020","남해1지선","128.641812","35.275780",
"1040I00002","장유IC","1040","남해2지선","128.809130","35.198170",
"1040I00003","가락IC","1040","남해2지선","128.894140","35.168360",
"1040I00004","서부산IC","1040","남해2지선","128.950600","35.155450",
"1040I00005","가락IC","1040","남해2지선","128.893979","35.164480",
"1040I00006","서부산ICIC","1040","남해2지선","128.951401","35.154669",
"1040I00007","장유IC","1040","남해2지선","128.810968","35.197427",
"1040J00001","냉정JCT","1040","남해2지선","128.793129","35.219500",
"1200I00001","도화IC","1200","경인선","126.672625","37.462061",
"1200I00002","가좌IC","1200","경인선","126.675401","37.484929",
"1200I00003","서인천IC","1200","경인선","126.681272","37.520857",
"1200I00004","부평IC","1200","경인선","126.722980","37.524491",
"1200I00006","부천IC","1200","경인선","126.778256","37.524907",
"1200J00005","서운JCT","1200","경인선","126.757400","37.524110",
"0170I00003","부여IC","1510","서천공주선","126.854360","36.298451",
"0170I00009","서공주ICIC","1510","서천공주선","127.060761","36.456092",
"0170I00010","청양IC","1510","서천공주선","126.953350","36.374410",
"0170I00011","서부여IC","1510","서천공주선","126.791342","36.240238",
"0170I00012","동서천IC","1510","서천공주선","126.783559","36.043655",
"0170J00008","서공주JCT","1510","서천공주선","127.064059","36.484395",
"0170J00013","동서천JCTJCT","1510","서천공주선","126.774982","36.060117",
"0350J00015","서대전JCT","2510","호남지선","127.316842","36.295179",
"2510I00001","논산IC","2510","호남지선","127.134867","36.121308",
"2510I00002","계룡IC","2510","호남지선","127.281775","36.251790",
"2510I00004","유성IC","2510","호남지선","127.332729","36.363582",
"2510I00005","북대전IC","2510","호남지선","127.381929","36.412675",
"2510I90007","양촌IC","2510","호남지선","127.218341","36.158575",
"2510J00006","논산JCT","2510","호남지선","127.103715","36.081785",
"3000I00002","서대전IC","3000","대전남부선","127.327420","36.291709",
"3000I00003","안영IC","3000","대전남부선","127.379291","36.284701",
"3000I00128","서대전IC","3000","대전남부선","127.329733","36.292944",
"3000J00004","산내JCT","3000","대전남부선","127.448620","36.282070",
"3000J90005","산내JCT","3000","대전남부선","127.453230","36.282052",
"4000I00004","북오산IC","4000","봉담동탄선","127.059048","37.182843",
"4000J00003","동탄JCT","4000","봉담동탄선","127.098181","37.178225",
"4510I00001","현풍IC","4510","중부내륙지선","128.440289","35.672377",
"4510I00002","달성IC","4510","중부내륙지선","128.475923","35.768287",
"4510I00005","남대구IC","4510","중부내륙지선","128.528911","35.837951",
"4510I00006","성서IC","4510","중부내륙지선","128.523674","35.850379",
"4510I00007","서대구IC","4510","중부내륙지선","128.532898","35.876976",
"4510I00009","화원IC","4510","중부내륙지선","128.480078","35.801333",
"4510I90007","북현풍 하이패스IC","4510","중부내륙지선","128.436309","35.703720",
"4510I90008","유천IC","4510","중부내륙지선","128.505676","35.813980",
"5510I00001","물금IC","5510","중앙선지선","129.012692","35.307105",
"5510I00002","남양산IC","5510","중앙선지선","129.027782","35.325967",
"5510I00003","삼락IC","5510","중앙선지선","128.983472","35.193304",
"5510J00104","김해JCT","5510","중앙선지선","128.919997","35.224933",
"6000I90001","광재IC","6000","부산외곽선","128.896381","35.306007",
"6000I90002","금정IC","6000","부산외곽선","129.113324","35.284043",
"6000I90004","기장철마IC","6000","부산외곽선","129.152482","35.285016",
"6000I90005","김해가야하이패스IC","6000","부산외곽선","129.002445","35.268353",
"6000I90006","김해금관가야IC","6000","부산외곽선","129.002479","35.270519",
"6000I90008","진영IC","6000","부산외곽선","128.768489","35.299178",
"6000I90010","한림IC","6000","부산외곽선","128.811787","35.295885",
"6000J90003","기장JCT","6000","부산외곽선","129.222103","35.282105",
"6000J90007","대감JCT","6000","부산외곽선","128.985138","35.271282",
"6000J90009","진영JCT","6000","부산외곽선","128.721242","35.280259",
"6000J90011","노포JCT","6000","부산외곽선","129.094741","35.291384",
